Merchant  Name ,Merchant Number,Terminal Id ,Location
Mount Meru - Siavonga,810000000100280,10037315, Siavonga
Mount Meru - Siavonga,810000000100280,10037313, Siavonga
Mount Meru - Makeni,100000001261998,10034785, Makeni
Mount Meru -Makeni,100000001261998,10034783,Makeni
Mount Meru - Libala,100000001261980,10034815, Libala
Mount Meru - Libala,100000001261980,10034817, Libala
Mount Meru - Kasangula,100000001262012,10034793, Kasangula
Mount Meru - Kasangula,100000001262012,10034791, Kasangula
Mount Meru - Airport,100000001262020,10034795, Airport
Mount Meru - Airport,100000001262020,10034797, Airport
Mount Meru - Roma,100000001262111,10034833, Roma
Mount Meru - Roma,100000001262111,10034831, Roma
Mount Meru - Lilayi,100000001262004,10034787, Lilayi
Mount Meru - Lilayi,100000001262004,10034789, Lilayi
Mount Meru - Freedom,100000001262079,10034825, Freedom
Mount Meru - Freedom,100000001262079,10034823, Freedom
Mount Meru - Katuba,100000001262087,10034827, Katuba
Mount Meru - Katuba,100000001262087,10034829, Katuba
Mount Meru - Mungwi,100000001262178,10034851, Mungwi
Mount Meru - Mungwi,100000001262178,10034853, Mungwi
Mount Meru - Chongwe,100000001262061,10034821, Chongwe
Mount Meru - Chongwe,100000001262061,10034819, Chongwe
Mount Meru - Los Angeles,100000001262145,10034845, Los Angeles
Mount Meru - Los Angeles,100000001262145,10034841, Los Angeles
Mount Meru - Kamwala,100000001262186,10034847, Kamwala
Mount Meru - Kamwala,100000001262186,10034849, Kamwala
Mount Meru - Leopards Hill,100000001262129,10034835, Leopards Hill
Mount Meru - Leopards Hill,100000001262129,10034837, Leopards Hill
Mount Meru - Munali,100000001262137,10034839, Munali
Mount Meru - Munali,100000001262137,10034843, Munali
Mount Meru - Lumumba Station,100000001261964,10034807, Lumumba Station
Mount Meru - Lumumba Station,100000001261964,10034809, Lumumba Station
Mount Meru - Mumbwa Station,100000001261972,10034811, Mumbwa Station
Mount Meru - Mumbwa Station,100000001261972,10034813, Mumbwa Station
Mount Meru - Emmasdale,100000001261949,10034799, Emmasdale
Mount Meru - Emmasdale,100000001261949,10034801, Emmasdale
Mount Meru - SOS,100000001261956,10034803, SOS
Mount Meru - SOS,100000001261956,10034805, SOS
Mount Meru -Long Acres,100000001137362,10033963,Long Acres
Mount Meru -Long Acres,100000001137420,10033965,Long Acres
Mount Meru -Long Acres,100000001137438,10033967,Long Acres
Mount Meru -Chipata next to protea,100000001380988,10036081,Chipata next to protea
Mount Meru -Chipata next to protea,100000001380988,10036079,Chipata next to protea
Mount Meru -Rufunsa,100000001353951,10035649,Rufunsa
Mount Meru -Rufunsa,100000001353951,10035651,Rufunsa
Mount  Meru - Katima Mulilo,100000001353878,10035631, Katima Mulilo
Mount  Meru - Katima Mulilo,100000001353878,10035633, Katima Mulilo
Mount Meru -Mungwi,100000001353910,10035639,Mungwi
Mount Meru -Mungwi,100000001353910,10035641,Mungwi
Mount Meru -Ring Rd,100000001353928,10035643,Ring Rd
Mount Meru -Ring Rd,100000001353928,10035647,Ring Rd
Mount Meru -Chilanga,100000001353605,10035611,Chilanga
Mount Meru -Chilanga,100000001353605,10035613,Chilanga
Mount Meru -Farmers,100000001353688,10035619,Farmers
Mount Meru -Farmers,100000001353688,10035621,Farmers
Mount Meru -Kafue Rd,100000001353746,10035623,Kafue Rd
Mount Meru -Kafue Rd,100000001353746,10035625,Kafue Rd
Mount Meru -Kafue  ,100000001353761,10035627,Kafue  
Mount Meru -Kafue  ,100000001353761,10035629,Kafue  
Mount Meru -Burma Road,100000001194652,10034313,Burma Road
Mount Meru -Burma Road,100000001194645,10034311,Burma Road
